
SELECT
    hour,
    runningAccumulate(s) AS acc,
    clicked,
    runningDifference(clicked) as diff,
    cnt
FROM
(
    SELECT
        hour,
        sumState(click) AS s,
        sum(click) AS clicked,
        count(*) AS cnt
    FROM Train
    GROUP BY hour
    ORDER BY hour ASC
)
ORDER BY hour ASC
14102100	20792	20792	0	119006
14102101	44665	23873	3081	137442
14102102	75930	31265	7392	207471
14102103	108760	32830	1565	193355
14102104	148786	40026	7196	264711
14102105	189495	40709	683	273500
14102106	228152	38657	-2052	239720
14102107	263683	35531	-3126	209311
14102108	298903	35220	-311	207244
14102109	336705	37802	2582	230917
14102110	372399	35694	-2108	200028
14102111	407875	35476	-218	175666
14102112	436650	28775	-6701	143620
14102113	472075	35425	6650	190481
14102114	507243	35168	-257	174531
14102115	541323	34080	-1088	176156
14102116	574792	33469	-611	171869
14102117	607349	32557	-912	171933
14102118	634819	27470	-5087	152365
14102119	655020	20201	-7269	119775
14102120	673215	18195	-2006	112017
14102121	688420	15205	-2990	89501
14102122	704303	15883	678	88436
14102123	718218	13915	-1968	73940
14102200	732552	14334	419	78006
14102201	751750	19198	4864	100611
14102202	771597	19847	649	102844
14102203	797061	25464	5617	137006
14102204	831438	34377	8913	200948
14102205	873359	41921	7544	286697
14102206	919586	46227	4306	288819
14102207	959172	39586	-6641	212323
14102208	1005659	46487	6901	322803
14102209	1068069	62410	15923	447783
14102210	1129257	61188	-1222	438270
14102211	1181475	52218	-8970	386757
14102212	1237592	56117	3899	408650
14102213	1280783	43191	-12926	323480
14102214	1315408	34625	-8566	185611
14102215	1349968	34560	-65	185381
14102216	1382236	32268	-2292	184316
14102217	1417202	34966	2698	196912
14102218	1451910	34708	-258	205756
14102219	1479708	27798	-6910	173603
14102220	1502384	22676	-5122	144375
14102221	1522809	20425	-2251	123826
14102222	1541131	18322	-2103	109372
14102223	1557038	15907	-2415	92977
14102300	1573992	16954	1047	89341
14102301	1593753	19761	2807	102258
14102302	1624396	30643	10882	147980
14102303	1657115	32719	2076	175094
14102304	1704171	47056	14337	273173
14102305	1743985	39814	-7242	234524
14102306	1768777	24792	-15022	138628
14102307	1799092	30315	5523	160004
14102308	1837422	38330	8015	232430
14102309	1872580	35158	-3172	185193
14102310	1906192	33612	-1546	162806
14102311	1939172	32980	-632	161494
14102312	1971322	32150	-830	152413
14102313	2003267	31945	-205	162221
14102314	2036431	33164	1219	173837
14102315	2077880	41449	8285	246297
14102316	2111021	33141	-8308	178192
14102317	2141423	30402	-2739	158332
14102318	2170180	28757	-1645	157759
14102319	2192567	22387	-6370	132883
14102320	2212632	20065	-2322	133045
14102321	2229791	17159	-2906	116964
14102322	2246545	16754	-405	105652
14102323	2262249	15704	-1050	90232
14102400	2277002	14753	-951	82137
14102401	2294635	17633	2880	94622
14102402	2319717	25082	7449	125003
14102403	2342194	22477	-2605	123845
