
SELECT
    hour,
    runningAccumulate(s) AS acc
FROM
(
    SELECT
        hour,
        sumState(click) AS s
    FROM Train
    GROUP BY hour
    ORDER BY hour ASC
)
ORDER BY hour ASC
14102100	20792
14102101	44665
14102102	75930
14102103	108760
14102104	148786
14102105	189495
14102106	228152
14102107	263683
14102108	298903
14102109	336705
14102110	372399
14102111	407875
14102112	436650
14102113	472075
14102114	507243
14102115	541323
14102116	574792
14102117	607349
14102118	634819
14102119	655020
14102120	673215
14102121	688420
14102122	704303
14102123	718218
14102200	732552
14102201	751750
14102202	771597
14102203	797061
14102204	831438
14102205	873359
14102206	919586
14102207	959172
14102208	1005659
14102209	1068069
14102210	1129257
14102211	1181475
14102212	1237592
14102213	1280783
14102214	1315408
14102215	1349968
14102216	1382236
14102217	1417202
14102218	1451910
14102219	1479708
14102220	1502384
14102221	1522809
14102222	1541131
14102223	1557038
14102300	1573992
14102301	1593753
14102302	1624396
14102303	1657115
14102304	1704171
14102305	1743985
14102306	1768777
14102307	1799092
14102308	1837422
14102309	1872580
14102310	1906192
14102311	1939172
14102312	1971322
14102313	2003267
14102314	2036431
14102315	2077880
14102316	2111021
14102317	2141423
14102318	2170180
14102319	2192567
14102320	2212632
14102321	2229791
14102322	2246545
14102323	2262249
14102400	2277002
14102401	2294635
14102402	2319717
14102403	2342194
14102404	2369591
14102405	2398379
14102406	2428071
14102407	2460539
14102408	2492009
14102409	2521058
14102410	2546637
14102411	2571575
14102412	2606199
14102413	2641573
14102414	2681840
14102415	2720538
14102416	2761729
14102417	2803184
14102418	2829143
14102419	2833226
14102420	2836409
14102421	2839078
14102422	2841351
14102423	2844979
14102500	2858537
14102501	2873657
14102502	2878100
14102503	2887624
14102504	2901773
14102505	2923194
14102506	2931595
14102507	2959711
14102508	2987507
14102509	3018944
14102510	3050727
14102511	3085983
14102512	3124437
14102513	3171489
14102514	3217053
14102515	3262588
14102516	3302585
14102517	3340387
14102518	3373164
14102519	3395125
14102520	3412578
14102521	3428779
14102522	3444246
14102523	3458419
14102600	3471575
14102601	3486743
14102602	3506231
14102603	3527997
14102604	3558319
14102605	3591656
14102606	3625686
14102607	3662154
14102608	3697670
14102609	3733971
14102610	3772300
14102611	3815814
14102612	3860192
14102613	3903771
14102614	3946783
14102615	3985874
14102616	4024039
14102617	4055742
14102618	4082569
14102619	4102658
14102620	4119998
14102621	4132671
14102622	4146944
14102623	4160575
14102700	4171878
14102701	4187770
14102702	4203526
14102703	4224412
14102704	4249809
14102705	4281492
14102706	4313022
14102707	4343850
14102708	4373789
14102709	4402556
14102710	4420217
14102711	4439789
14102712	4468727
14102713	4502433
14102714	4525497
14102715	4546438
14102716	4581218
14102717	4623329
14102718	4656961
14102719	4683428
14102720	4700475
14102721	4715206
14102722	4730663
14102723	4746218
14102800	4761645
14102801	4782049
14102802	4808182
14102803	4827044
14102804	4852592
14102805	4886535
14102806	4916955
14102807	4952639
14102808	4990554
14102809	5031197
14102810	5067907
14102811	5107274
14102812	5151934
14102813	5211014
14102814	5267602
14102815	5314799
14102816	5361854
14102817	5405100
14102818	5439562
14102819	5467727
14102820	5492094
14102821	5516469
14102822	5534334
14102823	5550840
14102900	5565332
14102901	5582918
14102902	5607213
14102903	5647807
14102904	5671864
14102905	5691058
14102906	5712050
14102907	5746614
14102908	5777422
14102909	5803351
14102910	5834870
14102911	5861951
14102912	5891373
14102913	5922350
14102914	5958103
14102915	5992121
14102916	6020835
14102917	6045311
14102918	6065366
14102919	6084352
14102920	6103082
14102921	6118221
14102922	6133317
14102923	6150881
14103000	6168541
14103001	6186853
14103002	6205223
14103003	6223806
14103004	6260785
14103005	6293838
14103006	6325443
14103007	6354767
14103008	6383406
14103009	6420371
14103010	6454958
14103011	6494296
14103012	6535221
14103013	6577236
14103014	6621042
14103015	6662647
14103016	6701806
14103017	6734734
14103018	6765798
14103019	6791844
14103020	6812664
14103021	6833622
14103022	6850950
14103023	6865066
0.419
