
SELECT
    hour,
    runningAccumulate(s) AS acc,
    runningAccumulate(t) as acct,
    clicked,
    runningDifference(clicked) as diff,
    cnt
FROM
(
    SELECT
        hour,
        sumState(click) AS s,
        sumState(1) AS t,
        sum(click) AS clicked,
        count(*) AS cnt
    FROM Train
    GROUP BY hour
    ORDER BY hour ASC
)
ORDER BY hour ASC
14102100	20792	119006	20792	0	119006
14102101	44665	256448	23873	3081	137442
14102102	75930	463919	31265	7392	207471
14102103	108760	657274	32830	1565	193355
14102104	148786	921985	40026	7196	264711
14102105	189495	1195485	40709	683	273500
14102106	228152	1435205	38657	-2052	239720
14102107	263683	1644516	35531	-3126	209311
14102108	298903	1851760	35220	-311	207244
14102109	336705	2082677	37802	2582	230917
14102110	372399	2282705	35694	-2108	200028
14102111	407875	2458371	35476	-218	175666
14102112	436650	2601991	28775	-6701	143620
14102113	472075	2792472	35425	6650	190481
14102114	507243	2967003	35168	-257	174531
14102115	541323	3143159	34080	-1088	176156
14102116	574792	3315028	33469	-611	171869
14102117	607349	3486961	32557	-912	171933
14102118	634819	3639326	27470	-5087	152365
14102119	655020	3759101	20201	-7269	119775
14102120	673215	3871118	18195	-2006	112017
14102121	688420	3960619	15205	-2990	89501
14102122	704303	4049055	15883	678	88436
14102123	718218	4122995	13915	-1968	73940
14102200	732552	4201001	14334	419	78006
14102201	751750	4301612	19198	4864	100611
14102202	771597	4404456	19847	649	102844
14102203	797061	4541462	25464	5617	137006
14102204	831438	4742410	34377	8913	200948
14102205	873359	5029107	41921	7544	286697
14102206	919586	5317926	46227	4306	288819
14102207	959172	5530249	39586	-6641	212323
14102208	1005659	5853052	46487	6901	322803
14102209	1068069	6300835	62410	15923	447783
14102210	1129257	6739105	61188	-1222	438270
14102211	1181475	7125862	52218	-8970	386757
14102212	1237592	7534512	56117	3899	408650
14102213	1280783	7857992	43191	-12926	323480
14102214	1315408	8043603	34625	-8566	185611
14102215	1349968	8228984	34560	-65	185381
14102216	1382236	8413300	32268	-2292	184316
14102217	1417202	8610212	34966	2698	196912
14102218	1451910	8815968	34708	-258	205756
14102219	1479708	8989571	27798	-6910	173603
14102220	1502384	9133946	22676	-5122	144375
14102221	1522809	9257772	20425	-2251	123826
14102222	1541131	9367144	18322	-2103	109372
14102223	1557038	9460121	15907	-2415	92977
14102300	1573992	9549462	16954	1047	89341
14102301	1593753	9651720	19761	2807	102258
14102302	1624396	9799700	30643	10882	147980
14102303	1657115	9974794	32719	2076	175094
14102304	1704171	10247967	47056	14337	273173
14102305	1743985	10482491	39814	-7242	234524
14102306	1768777	10621119	24792	-15022	138628
14102307	1799092	10781123	30315	5523	160004
14102308	1837422	11013553	38330	8015	232430
14102309	1872580	11198746	35158	-3172	185193
14102310	1906192	11361552	33612	-1546	162806
14102311	1939172	11523046	32980	-632	161494
14102312	1971322	11675459	32150	-830	152413
14102313	2003267	11837680	31945	-205	162221
14102314	2036431	12011517	33164	1219	173837
14102315	2077880	12257814	41449	8285	246297
14102316	2111021	12436006	33141	-8308	178192
14102317	2141423	12594338	30402	-2739	158332
14102318	2170180	12752097	28757	-1645	157759
14102319	2192567	12884980	22387	-6370	132883
14102320	2212632	13018025	20065	-2322	133045
14102321	2229791	13134989	17159	-2906	116964
14102322	2246545	13240641	16754	-405	105652
14102323	2262249	13330873	15704	-1050	90232
14102400	2277002	13413010	14753	-951	82137
14102401	2294635	13507632	17633	2880	94622
14102402	2319717	13632635	25082	7449	125003
14102403	2342194	13756480	22477	-2605	123845
14102404	2369591	13918010	27397	4920	161530
14102405	2398379	14086195	28788	1391	168185
14102406	2428071	14256037	29692	904	169842
14102407	2460539	14437640	32468	2776	181603
14102408	2492009	14610882	31470	-998	173242
14102409	2521058	14778637	29049	-2421	167755
14102410	2546637	14925330	25579	-3470	146693
14102411	2571575	15061113	24938	-641	135783
14102412	2606199	15249520	34624	9686	188407
14102413	2641573	15438578	35374	750	189058
14102414	2681840	15655723	40267	4893	217145
14102415	2720538	15862406	38698	-1569	206683
